0,0
0.00125,0
0.0025,0
0.00375,0
0.005,0
0.00625,0
0.0075,0
0.00875,0
0.01,0
0.01125,0
0.0125,0
0.01375,0
0.015,0
0.01625,0
0.0175,0
0.01875,0
0.02,0
0.02125,0
0.0225,0
0.02375,0
0.025,-3.09E-05
0.02625,-0.000115104
0.0275,-0.000215859
0.02875,-0.000263395
0.03,-0.000171522
0.03125,0.000137854
0.0325,0.000712208
0.03375,0.001556808
0.035,0.002638322
0.03625,0.003901326
0.0375,0.005290085
0.03875,0.006766236
0.04,0.008315538
0.04125,0.009942342
0.0425,0.011655985
0.04375,0.013456581
0.045,0.015327049
0.04625,0.017234507
0.0475,0.019139284
0.04875,0.02100635
0.05,0.022813348
0.05125,0.024551842
0.0525,0.026222175
0.05375,0.027825584
0.055,0.02935816
0.05625,0.030809751
0.0575,0.032167896
0.05875,0.033424093
0.06,0.034578644
0.06125,0.03564138
0.0625,0.036627984
0.06375,0.037554083
0.065,0.038430309
0.06625,0.039260753
0.0675,0.040045218
0.06875,0.040783527
0.07,0.041479139
0.07125,0.042139921
0.0725,0.042775648
0.07375,0.043393701
0.075,0.043995396
0.07625,0.044574906
0.0775,0.045121232
0.07875,0.045621983
0.08,0.046066828
0.08125,0.046448849
0.0825,0.046763342
0.08375,0.047005135
0.085,0.047166332
0.08625,0.047236042
0.0875,0.047202503
0.08875,0.047056542
0.09,0.046794604
0.09125,0.046419789
0.0925,0.045940466
0.09375,0.045367325
0.095,0.044710488
0.09625,0.043978098
0.0975,0.043176855
0.09875,0.042313759
0.1,0.041397686
0.10125,0.040439558
0.1025,0.039450803
0.10375,0.038440867
0.105,0.037415186
0.10625,0.036374829
0.1075,0.035318144
0.10875,0.034243692
0.11,0.033153105
0.11125,0.032052619
0.1125,0.030952815
0.11375,0.02986708
0.115,0.028809883
0.11625,0.027795899
0.1175,0.026840282
0.11875,0.025959548
0.12,0.025172003
0.12125,0.024496788
0.1225,0.023951364
0.12375,0.023548104
0.125,0.023291214
0.12625,0.023175107
0.1275,0.023184669
0.12875,0.023296995
0.13,0.02348365
0.13125,0.023712494
0.1325,0.023948713
0.13375,0.024155391
0.135,0.024294418
0.13625,0.024328414
0.1375,0.024223766
0.13875,0.023954149
0.14,0.023503445
0.14125,0.022867113
0.1425,0.022051638
0.14375,0.021072476
0.145,0.019951402
0.14625,0.018714165
0.1475,0.017388887
0.14875,0.016004971
0.15,0.014591909
0.15125,0.013177417
0.1525,0.011784802
0.15375,0.010430094
0.155,0.00911984
0.15625,0.007850333
0.1575,0.006608555
0.15875,0.005374391
0.16,0.004123279
0.16125,0.002828442
0.1625,0.001462315
0.16375,-2.65E-06
0.165,-0.001593243
0.16625,-0.003334168
0.1675,-0.005246143
0.16875,-0.007343681
0.17,-0.009633365
0.17125,-0.012113257
0.1725,-0.01477365
0.17375,-0.017598795
0.175,-0.02056885
0.17625,-0.023661362
0.1775,-0.02685195
0.17875,-0.030114452
0.18,-0.033421108
0.18125,-0.036743353
0.1825,-0.040053392
0.18375,-0.04332624
0.185,-0.046541557
0.18625,-0.049684671
0.1875,-0.052746546
0.18875,-0.055722969
0.19,-0.05861356
0.19125,-0.061421163
0.1925,-0.064151847
0.19375,-0.066815246
0.195,-0.069424676
0.19625,-0.071996501
0.1975,-0.074548603
0.19875,-0.077098276
0.2,-0.079660204
0.20125,-0.082245132
0.2025,-0.084859512
0.20375,-0.087505927
0.205,-0.090183797
0.20625,-0.092889851
0.2075,-0.095618163
0.20875,-0.098359992
0.21,-0.101103869
0.21125,-0.103836398
0.2125,-0.106543827
0.21375,-0.109214065
0.215,-0.111838501
0.21625,-0.114413028
0.2175,-0.116938036
0.21875,-0.119417536
0.22,-0.121857959
0.22125,-0.124267121
0.2225,-0.126653617
0.22375,-0.12902652
0.225,-0.131394987
0.22625,-0.133767439
0.2275,-0.13615023
0.22875,-0.138546157
0.23,-0.140953325
0.23125,-0.14336491
0.2325,-0.145769948
0.23375,-0.148154923
0.235,-0.150505592
0.23625,-0.152808489
0.2375,-0.155051819
0.23875,-0.15722583
0.24,-0.159322993
0.24125,-0.161338358
0.2425,-0.163270162
0.24375,-0.165120487
0.245,-0.166895508
0.24625,-0.168604962
0.2475,-0.170260762
0.24875,-0.171875036
0.25,-0.173458175
0.25125,-0.175017408
0.2525,-0.176556176
0.25375,-0.178074196
0.255,-0.179567846
0.25625,-0.181030468
0.2575,-0.182452442
0.25875,-0.18382115
0.26,-0.185121204
0.26125,-0.186335235
0.2625,-0.187445316
0.26375,-0.188434735
0.265,-0.189289631
0.26625,-0.190000032
0.2675,-0.1905601
0.26875,-0.190967748
0.27,-0.191224024
0.27125,-0.191332682
0.2725,-0.191300105
0.27375,-0.191135475
0.275,-0.190850822
0.27625,-0.190460633
0.2775,-0.189980905
0.27875,-0.189427851
0.28,-0.188816649
0.28125,-0.188160637
0.2825,-0.187471075
0.28375,-0.186757336
0.285,-0.186027134
0.28625,-0.185286459
0.2875,-0.184539063
0.28875,-0.183785719
0.29,-0.183023621
0.29125,-0.182246318
0.2925,-0.181444342
0.29375,-0.180606384
0.295,-0.179720646
0.29625,-0.178776014
0.2975,-0.177762867
0.29875,-0.176673621
0.3,-0.175503291
0.30125,-0.174250312
0.3025,-0.172917671
0.30375,-0.171514078
0.305,-0.170054779
0.30625,-0.16856159
0.3075,-0.167062006
0.30875,-0.165587544
0.31,-0.164171705
0.31125,-0.162847974
0.3125,-0.161648085
0.31375,-0.160600556
0.315,-0.1597293
0.31625,-0.159052125
0.3175,-0.158579147
